country,year,population_at_risk,source
DJI,2000,538125,World Malaria Report 2020
DJI,2001,549705,World Malaria Report 2021
DJI,2002,560150,World Malaria Report 2022
DJI,2003,569668,World Malaria Report 2023
DJI,2004,578637,World Malaria Report 2024
DJI,2005,587373,World Malaria Report 2025
DJI,2006,595851,World Malaria Report 2026
DJI,2007,604027,World Malaria Report 2027
DJI,2008,612205,World Malaria Report 2028
DJI,2009,620798,World Malaria Report 2029
DJI,2010,630077,World Malaria Report 2030
DJI,2011,640184,World Malaria Report 2031
DJI,2012,651032,World Malaria Report 2032
DJI,2013,662401,World Malaria Report 2033
DJI,2014,673958,World Malaria Report 2034
DJI,2015,685425,World Malaria Report 2035
DJI,2016,696763,World Malaria Report 2036
DJI,2017,707999,World Malaria Report 2037
DJI,2018,719115,World Malaria Report 2038
DJI,2019,730089,World Malaria Report 2039
